Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn II (East Bay),2,2013,8.128000000000005,0.07325999999999996,0.27453000000000016,0.06427999999999999,2.0,8.4,232.0,11706.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn. IV (Central Bay),2,2013,8.105,0.05096000000000001,0.23224,0.060230000000000006,2.0,7.8,181.0,2952.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn V (Northern West Bay),2,2013,8.057,0.07504181818181813,0.2656949999999999,0.07669000000000006,2.0,7.1,222.0,1429.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn VIII (South Bay),2,2013,8.122,0.049239999999999985,0.22863666666666668,0.06000000000000002,2.0,8.4,94.0,3086.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XV (San Pedro),2,2013,8.508000000000003,0.053918888888888884,0.2450100000000001,0.06031,2.0,7.6,770.0,19181.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn.XVI (Sta Rosa),2,2013,8.390000000000002,0.06076888888888888,0.2495300000000001,0.06595000000000001,2.0,7.8,365.0,18300.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVII (Sanctuary),2,2013,8.224000000000004,0.05205999999999996,0.31336000000000025,0.07006000000000003,2.0,8.2,115.0,8114.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVIII (Pagsanjan),2,2013,8.224000000000007,0.044229999999999985,0.3367600000000002,0.06911000000000002,2.0,8.8,658.0,7696.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn. I (Central West Bay),3,2013,8.01499999999999,0.04678,0.44747411764705936,0.08338999999999999,1.0,7.5,147.0,20927.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn II (East Bay),3,2013,7.994000000000009,0.08120956439393938,0.6566662500000001,0.08311476268829202,1.0,7.7,273.0,183033.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. IV (Central Bay),3,2013,8.062000000000005,0.05557999999999999,0.3820041176470591,0.06467999999999997,2.0,7.6,226.0,25587.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn V (Northern West Bay),3,2013,8.01599999999999,0.0455,0.45763411764705936,0.08681999999999997,1.0,7.4,220.0,21154.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn VIII (South Bay),3,2013,8.005,0.047899999999999984,0.67098625,0.053619999999999994,1.0,7.8,140.0,42537.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XV (San Pedro),3,2013,8.163769653052258,0.07974999999999993,0.26788000000000023,0.05679999999999993,1.0,7.6,845.0,9422.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn.XVI (Sta Rosa),3,2013,8.161556521739131,0.07057124999999997,0.24888000000000024,0.07022999999999999,2.0,7.6,365.0,6128.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVII (Sanctuary),3,2013,8.124678743961352,0.06583999999999995,0.3284,0.05585999999999995,2.0,8.4,131.0,10877.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVIII (Pagsanjan),3,2013,8.005,0.049469999999999986,0.67416625,0.05416000000000001,2.0,7.8,441.0,44960.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. I (Central West Bay),4,2013,8.439090909090915,0.05133999999999998,0.05418999999999994,0.08359999999999995,2.0,8.1,52.0,6079.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn II (East Bay),4,2013,8.481999999999998,0.03334529411764702,0.04284999999999994,0.10710000000000003,2.0,7.6,31.0,27335.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. IV (Central Bay),4,2013,8.300675824175821,0.04144999999999996,0.04395999999999996,0.08485999999999994,2.0,8.0,49.0,15513.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn V (Northern West Bay),4,2013,8.456461538461543,0.04956999999999998,0.05130999999999994,0.10166999999999997,2.0,7.0,61.0,9997.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn VIII (South Bay),4,2013,8.339999999999998,0.037263865546218466,0.04423999999999993,0.10375999999999999,2.0,7.4,78.0,29964.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XV (San Pedro),4,2013,8.342999999999998,0.03731386554621846,0.04423999999999993,0.10375999999999999,2.0,7.5,340.0,29826.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn.XVI (Sta Rosa),4,2013,8.268461538461539,0.06277999999999995,0.03356999999999996,0.1418699999999999,2.0,8.2,210.0,13476.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVII (Sanctuary),4,2013,8.519000000000002,0.03333529411764702,0.04222999999999995,0.08732,3.0,8.1,73.0,25259.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVIII (Pagsanjan),4,2013,8.339999999999998,0.03505386554621846,0.04375999999999993,0.11437999999999998,2.0,8.9,21.0,29367.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. I (Central West Bay),5,2013,8.528999999999998,0.08168999999999997,0.05908999999999998,0.12394999999999991,2.0,7.3,46.0,63351.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn II (East Bay),5,2013,8.613000000000001,0.061578333333333284,0.06174999999999999,0.07852999999999995,2.0,8.0,17.0,18576.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. IV (Central Bay),5,2013,8.406999999999993,0.10822999999999995,0.07086000000000009,0.14351999999999981,4.0,7.4,35.0,89329.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn V (Northern West Bay),5,2013,8.347999999999994,0.14352833333333329,0.08839000000000015,0.14150599999999985,2.0,7.0,254.0,155543.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn VIII (South Bay),5,2013,8.131000000000002,0.06435333333333328,0.06046999999999999,0.08287999999999995,2.0,8.0,225.0,17067.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XV (San Pedro),5,2013,7.969999999999999,0.08073333333333327,0.04767999999999998,0.1521799999999999,3.0,7.8,150.0,13945.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn.XVI (Sta Rosa),5,2013,8.512000000000002,0.06275999999999994,0.061919999999999996,0.11243000000000009,3.0,7.8,173.0,50398.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVII (Sanctuary),5,2013,8.528999999999998,0.08168999999999997,0.05826999999999998,0.1239199999999999,3.0,8.6,42.0,62831.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVIII (Pagsanjan),5,2013,8.603000000000003,0.05822333333333327,0.06352000000000001,0.08028999999999994,2.0,8.4,12.0,22718.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. I (Central West Bay),6,2013,8.768000000000011,0.04933998043214953,0.05052999999999991,0.10822000000000007,2.0,9.6,11.0,23653.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn II (East Bay),6,2013,8.678783369408375,0.06528888681987945,0.051129999999999905,0.10072000000000003,2.0,8.9,16.0,15018.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. IV (Central Bay),6,2013,9.095777777777789,0.04861947623046887,0.05129999999999992,0.08176,2.0,11.8,17.0,18846.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn V (Northern West Bay),6,2013,8.88522882672884,0.07801960492530342,0.04981999999999991,0.14006999999999997,4.0,11.1,83.0,4832.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn VIII (South Bay),6,2013,8.796290695415701,0.05033947623046887,0.05209999999999991,0.08027999999999999,2.0,7.8,284.0,17620.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XV (San Pedro),6,2013,8.782654040404047,0.07153566553136403,0.10959346604599395,0.13560999999999998,4.0,8.8,112.0,2827.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn.XVI (Sta Rosa),6,2013,8.760777777777786,0.07508642310712156,0.0506899999999999,0.11504000000000003,3.0,11.0,40.0,8327.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVII (Sanctuary),6,2013,8.390999999999998,0.05008416374883284,0.048539999999999944,0.10890000000000001,1.0,8.4,46.0,62309.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVIII (Pagsanjan),6,2013,8.759000000000011,0.04834712328929238,0.049529999999999914,0.10721000000000011,1.0,8.4,11.0,22266.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. I (Central West Bay),7,2013,8.401000000000002,0.04045999999999996,0.05513999999999991,0.13952533674339296,3.0,8.4,13.0,180839.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn II (East Bay),7,2013,8.445000000000006,0.03393333333333332,0.09120000000000004,0.14753000000000005,2.0,7.5,33.0,24495.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. IV (Central Bay),7,2013,8.434000000000003,0.03918090909090904,0.08617999999999994,0.14577999999999997,3.0,7.3,6.0,60814.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn V (Northern West Bay),7,2013,8.327999999999996,0.08271916666666666,0.11695000000000005,0.15407000000000004,2.0,6.2,107.0,34779.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn VIII (South Bay),7,2013,8.346000000000002,0.03533999999999997,0.0775799999999999,0.14559999999999998,2.0,7.6,83.0,45439.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XV (San Pedro),7,2013,8.326000000000002,0.03590999999999996,0.0665799999999999,0.15288999999999994,2.0,6.2,66.0,47418.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn.XVI (Sta Rosa),7,2013,8.396,0.034649999999999966,0.11679000000000002,0.14437,2.0,7.2,29.0,42090.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVII (Sanctuary),7,2013,8.392000000000005,0.04090090909090905,0.06055999999999992,0.1809299999999999,4.0,8.6,40.0,54415.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVIII (Pagsanjan),7,2013,8.294999999999998,0.04841916666666661,0.10730000000000006,0.14766000000000004,3.0,8.7,32.0,33276.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. I (Central West Bay),8,2013,8.469399999999998,0.04703999999999997,0.05851999999999993,0.06384999999999999,2.0,7.0,26.0,33640.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn II (East Bay),8,2013,8.733399999999994,0.05504304347826085,0.06314999999999994,0.04940000000000001,1.0,8.0,245.0,41147.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. IV (Central Bay),8,2013,8.866000000000007,0.0717530434782608,0.04350999999999993,0.10571514485514481,2.0,7.2,22.0,106506.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn V (Northern West Bay),8,2013,8.40977995337995,0.05537428571428568,0.06360999999999993,0.06213999999999995,5.0,6.6,74.0,10804.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn VIII (South Bay),8,2013,8.877000000000002,0.06664304347826083,0.04609999999999994,0.07227000000000001,3.0,7.4,83.0,68923.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XV (San Pedro),8,2013,8.418232311548099,0.06483428571428568,0.04998999999999995,0.06412999999999999,3.0,7.1,46.0,16574.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn.XVI (Sta Rosa),8,2013,8.39694183535762,0.06902428571428569,0.049069999999999954,0.0673,3.0,7.0,71.0,17226.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVII (Sanctuary),8,2013,8.755,0.0715295140664961,0.043609999999999934,0.08154000000000003,3.0,7.8,86.0,81699.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVIII (Pagsanjan),8,2013,8.679399999999992,0.05585304347826083,0.051829999999999946,0.0461,2.0,8.8,116.0,43108.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. I (Central West Bay),9,2013,8.375000000000007,0.03297268568033274,0.0676599999999999,0.04351999999999995,2.0,8.0,84.0,48273.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn II (East Bay),9,2013,8.27161495906055,0.028308594771241813,0.059229999999999915,0.07774000000000003,2.0,6.2,349.0,16600.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. IV (Central Bay),9,2013,8.670999999999989,0.02297504273504271,0.05560999999999991,0.07248446078431373,1.0,7.8,49.0,105624.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn V (Northern West Bay),9,2013,8.41559018759019,0.023042435897435872,0.05835923076923064,0.08049000000000003,2.0,5.5,280.0,6635.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn VIII (South Bay),9,2013,8.234408586511533,0.023630902463549507,0.0523399999999999,0.08689000000000002,2.0,7.7,144.0,13570.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XV (San Pedro),9,2013,8.473750000000008,0.05670859477124182,0.0601499999999999,0.07547000000000002,1.0,6.5,45.0,27126.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn.XVI (Sta Rosa),9,2013,8.503999999999987,0.03468359477124181,0.06512999999999991,0.06661874999999998,2.0,7.6,114.0,77778.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVII (Sanctuary),9,2013,8.60899999999999,0.02889555555555551,0.05796999999999991,0.07323422574157869,1.0,9.2,97.0,159694.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVIII (Pagsanjan),9,2013,8.542000000000007,0.045683594771241835,0.07143999999999988,0.05127999999999999,2.0,9.6,188.0,45049.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. I (Central West Bay),10,2013,8.362,0.06470320574162675,0.06553999999999995,0.13887999999999998,2.0,8.6,186.0,37646.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn II (East Bay),10,2013,8.552999999999999,0.07729531468531463,0.06511999999999993,0.11399999999999996,1.0,8.2,185.0,65763.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. IV (Central Bay),10,2013,8.561574326859924,0.08326994360902255,0.05480999999999993,0.12141999999999996,2.0,7.0,268.0,17056.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn V (Northern West Bay),10,2013,8.425000000000002,0.0805845454545454,0.07996999999999993,0.1273165811965812,4.0,6.2,492.0,98174.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn VIII (South Bay),10,2013,8.480000000000004,0.09318297645852601,0.05975999999999995,0.12757099999999993,2.0,9.2,412.0,28053.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XV (San Pedro),10,2013,8.526574326859926,0.07984994360902255,0.05140999999999992,0.13083,3.0,8.6,77.0,16557.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn.XVI (Sta Rosa),10,2013,8.434,0.08617229464034418,0.08851000000000003,0.13168000000000002,3.0,7.5,397.0,31325.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVII (Sanctuary),10,2013,8.386000000000006,0.08091397497239594,0.11400000000000007,0.13982000000000008,2.0,8.6,59.0,43209.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVIII (Pagsanjan),10,2013,8.503999999999998,0.07623531468531464,0.06394999999999992,0.10438999999999994,2.0,8.8,71.0,76126.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. I (Central West Bay),11,2013,8.671000000000006,0.03129416666666666,0.04200999999999994,0.12748000000000012,3.0,8.0,170.0,27324.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn II (East Bay),11,2013,8.555000000000005,0.0382,0.052019999999999955,0.15058000000000024,2.0,8.0,126.0,34133.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. IV (Central Bay),11,2013,8.507562499999999,0.05367928571428568,0.05109999999999995,0.15347363981194234,3.0,7.7,158.0,975862.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn V (Northern West Bay),11,2013,7.88480952380952,0.035836833333333325,0.027449999999999974,0.11460999999999988,3.0,8.0,259.0,10851.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn VIII (South Bay),11,2013,8.661000000000007,0.03547507936507936,0.04799999999999995,0.16128000000000028,2.0,8.0,492.0,39168.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XV (San Pedro),11,2013,8.557000000000006,0.04024,0.07490999999999998,0.15373000000000028,4.0,7.0,159.0,36118.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn.XVI (Sta Rosa),11,2013,8.443562500000002,0.03181999999999995,0.05507999999999996,0.19641600000000012,2.0,8.0,854.0,86204.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVII (Sanctuary),11,2013,8.597000000000005,0.034735079365079365,0.07078999999999996,0.17431000000000027,2.0,8.0,66.0,40082.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVIII (Pagsanjan),11,2013,8.406,0.03713999999999997,0.06776999999999993,0.13234000000000004,2.0,8.0,83.0,46425.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. I (Central West Bay),12,2013,7.786666666666663,0.11836666666666655,0.06804999999999996,0.17042999999999997,3.0,7.4,256.0,11880.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn II (East Bay),12,2013,7.979000000000002,0.03721285714285713,0.13779000000000002,0.1425900000000002,2.0,8.8,126.0,37826.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn. IV (Central Bay),12,2013,7.741666666666662,0.07977,0.06731199999999997,0.1531199999999999,3.0,7.0,203.0,13893.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn V (Northern West Bay),12,2013,7.427666666666674,0.029199999999999973,0.10006000000000008,0.1540599999999999,4.0,8.0,294.0,6434.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn VIII (South Bay),12,2013,8.059000000000008,0.04385999999999997,0.11271000000000006,0.21702999999999995,2.0,8.2,926.0,64933.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
